id,master_word_id,translation,created_at,updated_at
1,2211,(…ということ)を信じる、(…だ)と思う(that節),,
2,7,〜をよく考える、を見なす、について考える,,
3,1962,を予期する、と思う,,
4,11,を決める、に決着をつける,,
5,8,を許す、を与える、(〜を)考慮に入れる(for),,
6,2212,(を)覚えている、(を)思い出す、(…すること)を覚えておく(to do),,
7,2213,(〜について)心配する(about),,
8,17,(受け身形で)心配している、(受け身形で)(〜に)関係する(with)、に関連する,,
9,9,を提案する、を暗示する,,
10,2214,（を）(〜に)説明する(to),,
11,18,について述べる、を説明する,,
12,3,を向上させる、よくなる,,
13,10,を生産する、を取り出す,,
14,1,を創り出す、を引き起こす,,
15,1903,を供給する(≒supply),,
16,2,増加する(⇔decrease)、を増やす,,
17,2215,成長する,,
18,2216,を開発する、を発展させる,,
19,2217,上がる、昇る,,
20,2218,を上げる、(子供)を育てる(≒bring up),,
21,2219,(の)次に続く、に従う,,
22,13,を要求する、を必要とする,,
23,2220,を満たす(⇔empty),,
24,2221,を支持する、を支援する,,
25,14,を共有する、を分担する,,
26,2222,に直面する、(危険などが)の身に迫る,,
27,2223,に触る、を感動させる,,
28,15,を保存する、を蓄える,,
29,2224,（［代金］を）払う,,
30,26,(deal withで)を処理する、(deal inで)を商う、を分配する,,
31,2225,を救う、(時間・金銭など)を節約する,,
32,2226,(事が)起こる、たまたま(…)する(to do),,
33,108,起こる、心に浮かぶ、現れる,,
34,2227,働く、機能する(≒function),,
35,2228,を(〜に)変える(to / into),,
36,2229,を経営する,,
37,2230,の向きを変える、を回す,,
38,2231,"を(〜に)返す(to)、(〜から、〜へ)戻る(from, to)",,
39,2232,立つ、を我慢する(≒bear),,
40,2233,横たわる,,
41,2234,脳,,
42,2235,心、精神(⇔body),,
43,2236,言語,,
44,57,考え、思考,,
45,58,知識、知っていること、認識,,
46,52,技能、熟練,,
47,77,科学技術、応用技術,,
48,78,文化、教養、工作、養殖、培養,,
49,2237,経験,,
50,2238,結果,,
51,47,理由、(…する)根拠(to do)、理性、分別,,
52,46,原因(⇔effect)、理由、大義,,
53,48,影響、効果、結果,,
54,53,事柄、問題、(~s)事態、(the ~)困難、物質,,
55,2239,感覚、意味,,
56,2240,道、(…する)方法(to do /  of doing),,
57,71,(専門)用語、(~s)条件、(~s)間柄、学期,,
58,50,状況、(人の置かれた)立場,,
59,2241,❲~s❳状況、状態,,
60,2242,(所定の)位置、場所、立場,,
61,51,環境(≒surroundings),,
62,2243,自然,,
63,45,(〜についての)研究、調査(into / on / in),,
64,2244,(…するという)規則(to do /  that節),,
65,44,興味 、利子、利害,,
66,55,価値、価格、評価、 (~s)価値観,,
67,54,(〜についての)見解(on / about)、(〜に対する)(特定の)見方(of)、眺め,,
68,2245,音,,
69,2246,形、(記入)用紙,,
70,2247,場合、事例、実情、事件,,
71,70,役割、(俳優などの)役,,
72,2248,年齢、年,,
73,2249,世話、介護、注意、心配,,
74,2250,危険(性),,
75,2251,人間の,,
76,2252,自由な,,
77,2253,"(〜を、…ということを)確信して(of, that節)",,
78,85,確信して、確かな、ある、一定の,,
79,2254,主な,,
